TreeID,qSpecies,qAddress,qSiteInfo,DBH,PlotSize,Latitude,Longitude
7957,Lophostemon confertus :: Brisbane Box,1800 Franklin St,Sidewalk: Curb side : Cutout,3,3X3,37.7912122663809,-122.424102272302
3139,Platanus x hispanica :: Sycamore: London Plane,3320 California St,Sidewalk: Curb side : Cutout,16,3X3,37.7870250535005,-122.449325021743
244346,Pyrus calleryana :: Ornamental Pear,300 Octavia St,Sidewalk: Curb side : Cutout,4,Width 0ft,37.7749547492459,-122.424001973931
191854,Eucalyptus polyanthemos :: Silver Dollar Eucalyptus,573 10th St,Sidewalk: Property side : Yard,24,Width 6ft,37.7697596664942,-122.408814503513
14553,Acacia melanoxylon :: Blackwood Acacia,875 Masonic Ave,Sidewalk: Curb side : Cutout,60,3X3,37.7732947980524,-122.446066856713
244298,Prunus serrulata :: Ornamental Cherry,350 Octavia St,Sidewalk: Curb side : Cutout,6,Width 0ft,37.7753793775331,-122.424088952775
13664,Platanus x hispanica :: Sycamore: London Plane,648 Market St,Sidewalk: Curb side : Cutout,35,4x4,37.7884202428554,-122.402663664993
229175,Lophostemon confertus :: Brisbane Box,795 Valencia St,Sidewalk: Curb side : Cutout,6,Width 3ft,37.7602513890079,-122.421343931093
13824,Platanus x hispanica :: Sycamore: London Plane,964 Market St,Sidewalk: Curb side : Cutout,40,4x4,37.7830015179357,-122.409459958667
22941,Lophostemon confertus :: Brisbane Box,413 Valencia St,Sidewalk: Curb side : Cutout,6,3X3,37.7662885702882,-122.421912561635
187139,Cupressus macrocarpa :: Monterey Cypress,2301 Sunset Blvd,Sidewalk: Property side : Yard,39,Width 0ft,37.7439474344515,-122.494773601416
235603,Platanus x hispanica :: Sycamore: London Plane,715 Valencia St,Sidewalk: Curb side : Cutout,7,Width 3ft,37.7613944596986,-122.42144325851
18096,Prunus serrulata :: Ornamental Cherry,3008 Pine St,Sidewalk: Curb side : Cutout,6,3X3,37.7864812852303,-122.445770680231
3092,Platanus x hispanica :: Sycamore: London Plane,2980 California St,Sidewalk: Curb side : Cutout,12,3X3,37.7877828069853,-122.443417371621
229176,Lophostemon confertus :: Brisbane Box,793 Valencia St,Sidewalk: Curb side : Cutout,2,Width 3ft,37.7603080570896,-122.421348027506
138112,Ficus retusa nitida :: Banyan Fig,1698 Sutter St,Sidewalk: Curb side : Cutout,17,Width 0ft,37.7868155327596,-122.428183141793
251282,Callistemon viminalis :: Weeping Bottlebrush,1299x Hudson Ave,Sidewalk: Curb side : Cutout,,3x3,37.7345728945406,-122.38290623346
11057,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',1630 Hyde St,Sidewalk: Curb side : Cutout,70,3X3,37.7959337026338,-122.418319444503
251275,Tristaniopsis laurina :: Swamp Myrtle,1175x Hudson Ave,Sidewalk: Curb side : Cutout,,3x3,37.732999109091,-122.381690402626
228559,Lophostemon confertus :: Brisbane Box,706 Valencia St,Sidewalk: Curb side : Cutout,7,Width 3ft,37.7614467741619,-122.421653968777
251280,Callistemon viminalis :: Weeping Bottlebrush,1275x Hudson Ave,Sidewalk: Curb side : Cutout,,3x3,37.734107450868,-122.382638493216
13004,Olea europaea 'Fruitless' :: Fruitless Olive,368 Lombard St,Sidewalk: Curb side : Cutout,3,4X4,37.8035522695821,-122.407659361785
17856,Olea europaea :: Olive Tree,2121 Pine St,Sidewalk: Curb side : Cutout,10,3X3,37.7881565558045,-122.431374278321
13887,Platanus x hispanica :: Sycamore: London Plane,1028 Market St,Sidewalk: Curb side : Cutout,12,4x4,37.7817788655291,-122.411040866943
229177,Lophostemon confertus :: Brisbane Box,789 Valencia St,Sidewalk: Curb side : Cutout,5,Width 3ft,37.7603841541343,-122.421351099567
13971,Platanus x hispanica :: Sycamore: London Plane,1150X Market St,Sidewalk: Curb side : Cutout,12,4x4,37.780516220741,-122.412733301341
236222,Platanus racemosa :: California Sycamore,758 Valencia St,Sidewalk: Curb side : Cutout,7,Width 3ft,37.7608256474983,-122.421613357168
6932,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',500 Fell St,Sidewalk: Curb side : Cutout,12,3X3,37.7755820815859,-122.426256755638
200971,Platanus x hispanica :: Sycamore: London Plane,1408 Market St,Sidewalk: Curb side : Cutout,5,Width 0ft,37.7763932439775,-122.417875241075
200966,Platanus x hispanica :: Sycamore: London Plane,1438 Market St,Sidewalk: Curb side : Cutout,11,Width 0ft,37.7760355203152,-122.418324330264
23112,Lophostemon confertus :: Brisbane Box,1448 Valencia St,Sidewalk: Curb side : Cutout,20,3X3,37.7496728724239,-122.420549657939
18999,Olea europaea :: Olive Tree,3039 Sacramento St,Sidewalk: Curb side : Cutout,24,3x3,37.7886348840283,-122.442962190565
200701,Magnolia grandiflora :: Southern Magnolia,1433 Mendell St,Sidewalk: Curb side : Cutout,1,Width 0ft,37.7341669595219,-122.390696529464
10470,Lophostemon confertus :: Brisbane Box,1614 Haight St,Sidewalk: Curb side : Cutout,3,3x3,37.7698072474262,-122.449023538308
14079,Platanus x hispanica :: Sycamore: London Plane,1420 Market St,Sidewalk: Curb side : Cutout,12,4X4,37.7761666587056,-122.418155844592
200973,Platanus x hispanica :: Sycamore: London Plane,1416 Market St,Sidewalk: Curb side : Cutout,10,Width 0ft,37.7762874795996,-122.418169566224
200974,Platanus x hispanica :: Sycamore: London Plane,1422 Market St,Sidewalk: Curb side : Cutout,10,Width 0ft,37.7762874795996,-122.418169566224
85529,Eriobotrya deflexa :: Bronze Loquat,101 12th St,Sidewalk: Curb side : Cutout,6,3x3,37.7722678019432,-122.417965767207
14085,Platanus x hispanica :: Sycamore: London Plane,1446 Market St,Sidewalk: Curb side : Cutout,12,4X4,37.7759916976491,-122.418387229062
18680,Platanus x hispanica :: Sycamore: London Plane,150X Richardson Ave,Sidewalk: Curb side : Cutout,18,15X15TR,37.8001180187875,-122.446524108406
4707,Lophostemon confertus :: Brisbane Box,968 Columbus Ave,Sidewalk: Curb side : Cutout,3,5x5,37.8032356306012,-122.414254658567
5204,Platanus x hispanica :: Sycamore: London Plane,777 Divisadero St,Sidewalk: Curb side : Cutout,3,4X4,37.7765435284866,-122.438227828795
18856,Corymbia ficifolia :: Red Flowering Gum,2201 Sacramento St,Sidewalk: Curb side : Cutout,12,3X3,37.79035631503,-122.429371791378
248942,Magnolia grandiflora 'Little Gem' :: Little Gem Magnolia,1500x Galvez Ave,Sidewalk: Curb side : Cutout,3,3x3,37.7396844950272,-122.385851388433
13638,Platanus x hispanica :: Sycamore: London Plane,576 Market St,Sidewalk: Curb side : Cutout,20,4x4,37.7894242082171,-122.401372725978
242524,Ulmus parvifolia :: Chinese Elm,1902 Folsom St,Sidewalk: Curb side : Cutout,7,Width 2ft,37.7667866624906,-122.415553715331
15241,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',1370 Mission St,Sidewalk: Curb side : Cutout,18,3X3,37.7756854149614,-122.415665767345
240412,Rhamnus alaternus :: Italian Buckthorn,3420 Market St,:,7,Width 3ft,37.7569687331323,-122.442678332141
229041,Lophostemon confertus :: Brisbane Box,1398 Church St,Sidewalk: Curb side : Cutout,10,Width 3ft,37.7486143110022,-122.427245115077
2880,Platanus x hispanica :: Sycamore: London Plane,1477 California St,Sidewalk: Curb side : Cutout,45,3X3,37.7907634327304,-122.41854743611
242532,Ulmus parvifolia :: Chinese Elm,2140 Folsom St,Sidewalk: Curb side : Cutout,7,Width 3ft,37.7629599086871,-122.41518894402
251337,Tristaniopsis laurina 'Elegant' :: Small-leaf Tristania 'Elegant',2230 Ocean Ave,Sidewalk: Curb side : Cutout,,3x3,37.7286049882219,-122.467720582484
5214,Pyrus calleryana :: Ornamental Pear,835 Divisadero St,Sidewalk: Curb side : Cutout,3,3X3,37.7773859294292,-122.438387950593
251360,Ginkgo biloba :: Maidenhair Tree,301 07th St,Sidewalk: Curb side : Cutout,,3x3,37.7767505721368,-122.407574310337
236224,Platanus racemosa :: California Sycamore,740 Valencia St,Sidewalk: Curb side : Cutout,7,Width 3ft,37.7610355717565,-122.421621166906
230151,Magnolia grandiflora :: Southern Magnolia,583 Church St,Sidewalk: Curb side : Cutout,4,Width 3ft,37.7614184949793,-122.42826674582
25708,Platanus x hispanica :: Sycamore: London Plane,586 06th St,Sidewalk: Curb side : Cutout,11,3X3,37.7750417149432,-122.401447254602
24812,Pyrus calleryana :: Ornamental Pear,2425 Fillmore St,Sidewalk: Curb side : Cutout,5,3X3,37.7919879109555,-122.434546304291
195045,Platanus x hispanica :: Sycamore: London Plane,312 06th St,:,10,Width 3ft,37.7783317443601,-122.405565505645
7350,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',2239 Fillmore St,Sidewalk: Curb side : Cutout,12,3X3,37.7904033576739,-122.434214763813
251373,Cupressus macrocarpa :: Monterey Cypress,401 Portola Dr,Median : Yard,,,37.7467166026546,-122.446329965078
231129,Maytenus boaria :: Mayten,821 14th St,Sidewalk: Curb side : Cutout,17,Width 3ft,37.7674929441754,-122.431842705671
100816,Platanus x hispanica :: Sycamore: London Plane,261 06th St,Sidewalk: Curb side : Cutout,7,3x3,37.7791180333094,-122.406213398837
14058,Platanus x hispanica :: Sycamore: London Plane,1390 Market St,Sidewalk: Curb side : Cutout,18,4X4,37.7774446311696,-122.416550977219
251369,Ficus nitida :: Laurel Fig,390 06th St,Sidewalk: Curb side : Cutout,,3x3,37.7773398544385,-122.404256716486
221428,Acacia stenophylla :: Shoestring Acacia,100x Guerrero St,Median : Cutout,1,Width 3ft,37.7694674075229,-122.424551705821
212187,Corymbia ficifolia :: Red Flowering Gum,720 Bosworth St,Sidewalk: Property side : Yard,16,,37.733870041163,-122.435152693763
216488,Corymbia ficifolia :: Red Flowering Gum,800x Bosworth St,Sidewalk: Curb side : Cutout,0,Width 3ft,37.7339160801534,-122.43604586623
193091,Magnolia grandiflora :: Southern Magnolia,1395 Fairfax Ave,:,6,Width 3ft,37.7400464320877,-122.385150061522
2190,Metrosideros excelsa :: New Zealand Xmas Tree,1055 Broderick St,Sidewalk: Curb side : Cutout,12,4X4,37.7801623757286,-122.440623460362
5563,Myoporum laetum :: Myoporum,1000 Dolores St,Sidewalk: Curb side : Cutout,35,3,37.753338590028,-122.425448034024
124177,Cupressus macrocarpa :: Monterey Cypress,8X Almaden Ct,Sidewalk: Property side : Yard,10,Width 9ft,37.7805760973259,-122.457897862346
117001,::,1X Bernal Heights Blvd,Front Yard : Yard,,,,
6322,Tristania conferta ::,1864 Ellis St,Sidewalk: Curb side : Cutout,6,4X4,37.7818440417219,-122.43704902047
251399,Ficus microcarpa :: Chinese Banyan,841 Columbus Ave,Sidewalk: Curb side : Cutout,,3x3,37.8023737344278,-122.413288863041
3094,Platanus x hispanica :: Sycamore: London Plane,3006 California St,Sidewalk: Curb side : Cutout,12,3X2,37.7877138091859,-122.443951383666
15433,Ficus retusa nitida :: Banyan Fig,2135 Mission St,Sidewalk: Curb side : Cutout,18,4X4,37.7628180091578,-122.419367848279
143018,Ficus retusa nitida :: Banyan Fig,404 LOMBARD ST,Sidewalk: Curb side : Cutout,20,Width 0ft,37.8034815958882,-122.408264308054
13046,Ficus nitida :: Laurel Fig,534 Lombard St,Sidewalk: Curb side : Cutout,18,5x3,37.8032072253646,-122.410413314112
13070,Olea europaea :: Olive Tree,630 Lombard St,Sidewalk: Curb side : Cutout,22,3x3,37.8030325899081,-122.4119030734
27411,Schinus terebinthifolius :: Brazilian Pepper,2198 Fell St,Sidewalk: Curb side : Cutout,6,3X3,37.7720572057802,-122.453869751853
141829,Pittosporum undulatum :: Victorian Box,1058 GOLDEN GATE AVE,Sidewalk: Curb side : Cutout,5,Width 0ft,37.7801213545811,-122.428148580041
139734,Platanus x hispanica :: Sycamore: London Plane,1451 Geary Blvd,Sidewalk: Curb side : Cutout,15,Width 0ft,37.7848998734482,-122.427015357398
229022,Lophostemon confertus :: Brisbane Box,383 Valencia St,Sidewalk: Curb side : Cutout,10,Width 3ft,37.7668905539726,-122.421967318656
17847,Magnolia grandiflora :: Southern Magnolia,2082 Pine St,Sidewalk: Curb side : Cutout,12,3X3,37.7884843766402,-122.430043414021
238894,Pyrus calleryana :: Ornamental Pear,1169 South Van Ness Ave,Sidewalk: Curb side : Cutout,3,Width 3ft,37.7544696223947,-122.416348565858
200822,Tristania conferta ::,5266 03rd St,Sidewalk: Curb side : Cutout,4,Width 0ft,37.7297887395904,-122.392600482998
22300,Pyrus calleryana :: Ornamental Pear,5000 03rd St,Sidewalk: Curb side : Cutout,3,3x3,37.7331585757016,-122.391429927203
18283,Tristaniopsis laurina :: Swamp Myrtle,2000 Post St,Sidewalk: Curb side : Cutout,6,4X4,37.7849933804768,-122.434931434249
97601,Pyrus calleryana :: Ornamental Pear,855 Divisadero St,Sidewalk: Curb side : Cutout,3,3x3,37.7775802046297,-122.438435148471
200823,Tristania conferta ::,5286 03rd St,Sidewalk: Curb side : Cutout,4,Width 0ft,37.7296051738385,-122.392669085224
2976,Platanus x hispanica :: Sycamore: London Plane,2187 California St,Sidewalk: Curb side : Cutout,45,3X2,37.7892615083399,-122.430214930957
13179,Tristania conferta ::,1976 Lombard St,Sidewalk: Curb side : Cutout,14,3X3,37.8002021701058,-122.434091743886
8248,Acer rubrum 'Armstrong' :: Armstrong Red Maple,1515 Galvez Ave,Sidewalk: Curb side : Cutout,3,3x3,37.739901571095,-122.38655841155
14837,Ulmus parvifolia :: Chinese Elm,1306 McAllister St,Sidewalk: Curb side : Cutout,3,3x3,37.7784557229826,-122.433679236224
14582,Ginkgo biloba :: Maidenhair Tree,1157 Masonic Ave,Sidewalk: Curb side : Cutout,100,4X4,37.7705146429615,-122.445505607921
200488,Lophostemon confertus :: Brisbane Box,2585 03rd St,Sidewalk: Curb side : Cutout,6,Width 4ft,37.7555806376415,-122.387865613929
251423,Ulmus pumila :: Siberian Elm,2162 Alemany Blvd,Sidewalk: Curb side : Cutout,,3x3,37.7181646124566,-122.4421796072
24631,Ginkgo biloba :: Maidenhair Tree,601 Divisadero St,Sidewalk: Curb side : Cutout,3,3X3,37.7752332149341,-122.437960533637
23276,Platanus x hispanica :: Sycamore: London Plane,819 Van Ness Ave,Sidewalk: Curb side : Cutout,7,4x4,37.7832276265901,-122.421077496141
177641,Metrosideros excelsa :: New Zealand Xmas Tree,5900 Mission St,Sidewalk: Curb side : Cutout,0,Width 4ft,37.7086586987048,-122.453369731652
22619,Schinus terebinthifolius :: Brazilian Pepper,1107 Turk St,Sidewalk: Curb side : Cutout,25,3X3,37.7810182911755,-122.427532248108
245468,Platanus x hispanica :: Sycamore: London Plane,3290 Mission St,Sidewalk: Curb side : Cutout,9,Width 0ft,37.7441925761806,-122.420903147917
2333,Lophostemon confertus :: Brisbane Box,2321 Bryant St,Sidewalk: Curb side : Cutout,18,5X5,37.7572123783538,-122.409439520633
7067,Tristania conferta ::,1600 Fell St,Sidewalk: Curb side : Cutout,3,3x3,37.7732695858551,-122.444405811275
251443,Tristaniopsis laurina :: Swamp Myrtle,2700x San Jose Ave,Sidewalk: Curb side : Cutout,,Width 3ft,37.7144804976148,-122.452010931306
251438,Cupressus macrocarpa :: Monterey Cypress,2501X Santiago St,Median : Yard,,,,
250070,Afrocarpus gracilior :: Fern Pine,399 Austin St,:,2,Width 3ft,37.788523627097,-122.425164323999
2952,Eriobotrya deflexa :: Bronze Loquat,2001 California St,Sidewalk: Curb side : Cutout,45,3X3,37.7894451404206,-122.427292872615
241326,Pyrus calleryana 'Aristocrat' :: Aristocrat Callery Pear,395 South Van Ness Ave,Sidewalk: Curb side : Cutout,8,Width 3ft,37.7669677904545,-122.417560553376
244318,Pyrus kawakamii :: Evergreen Pear,331 Octavia St,Sidewalk: Curb side : Cutout,3,Width 0ft,37.7754547855001,-122.424474886956
14853,Pittosporum undulatum :: Victorian Box,1351 McAllister St,Sidewalk: Curb side : Cutout,3,3x3,37.7782403273961,-122.434229790526
13143,Ficus retusa nitida :: Banyan Fig,1800 Lombard St,Sidewalk: Curb side : Cutout,100,3X3,37.8005466318744,-122.431404778789
251461,Metrosideros excelsa :: New Zealand Xmas Tree,6400 Geary Blvd,Sidewalk: Curb side : Cutout,,3x3,37.7800074013317,-122.487941250887
19194,Lophostemon confertus :: Brisbane Box,150 Sanchez St,Median : Cutout,25,3X3,37.7668229855288,-122.431116320948
17806,Eucalyptus sideroxylon :: Red Ironbark,1881 Pine St,Sidewalk: Curb side : Cutout,24,3x3,37.7887484569995,-122.426865989152
14734,Maytenus boaria :: Mayten,895 McAllister St,Sidewalk: Curb side : Cutout,8,4x4,37.7792137381495,-122.426529246778
2939,Platanus x hispanica :: Sycamore: London Plane,1910 California St,Sidewalk: Curb side : Cutout,35,4x4,37.7899745222421,-122.426139736785
218199,Platanus x hispanica :: Sycamore: London Plane,819 Ulloa St,:,13,Width 3ft,37.740714236277,-122.465596773898
172952,Acacia melanoxylon :: Blackwood Acacia,3000X Van Ness Ave,Sidewalk: Curb side : Cutout,0,Width 3ft,37.8034425497953,-122.424987312212
251471,Brugmansia spp :: Angel trumpet,2423 Market St,Front Yard : Yard,,,,
11089,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',1900 Hyde St,Sidewalk: Curb side : Cutout,70,3X3,37.7983881953143,-122.418798140138
12282,Tristania conferta ::,745 Laguna St,Sidewalk: Curb side : Cutout,18,5x10,37.7781341613075,-122.426688006249
119793,Ulmus parvifolia :: Chinese Elm,201x Octavia St,Median : Cutout,,,47.2699969117914,-138.280716869623
119828,Ulmus parvifolia :: Chinese Elm,301x Octavia St,Median : Cutout,,,47.2700470263222,-138.279303834774
14441,Myoporum laetum :: Myoporum,57 Masonic Ave,Sidewalk: Curb side : Cutout,100,4X4,37.7814827667269,-122.447748586483
23334,Platanus x hispanica :: Sycamore: London Plane,1200 Van Ness Ave,Sidewalk: Curb side : Cutout,10,3X3,37.7867719177417,-122.421410449447
119736,Ulmus parvifolia :: Chinese Elm,101x Octavia St,Median : Cutout,,,47.2699510709683,-138.28203408065
3124,Platanus x hispanica :: Sycamore: London Plane,3200 California St,Sidewalk: Curb side : Cutout,18,3X3,37.7872601830687,-122.447529062132
242526,Ulmus parvifolia :: Chinese Elm,1922 Folsom St,Sidewalk: Curb side : Cutout,7,Width 2ft,37.7665352651235,-122.415527471335
6073,Metrosideros excelsa :: New Zealand Xmas Tree,1944 Eddy St,Sidewalk: Curb side : Cutout,12,3X3,37.7805528822601,-122.439729742976
13128,Tristania conferta ::,1714 Lombard St,Sidewalk: Curb side : Cutout,40,3X3,37.8007374433085,-122.429850711739
237914,Ceratonia siliqua :: Carob,1001 Stanyan St,Sidewalk: Curb side : Cutout,21,Width 4ft,37.7654037766697,-122.452823145368
3161,Platanus x hispanica :: Sycamore: London Plane,3445 California St,Sidewalk: Curb side : Cutout,45,3X3,37.7866067115462,-122.450890739631
242525,Ulmus parvifolia :: Chinese Elm,1916 Folsom St,Sidewalk: Curb side : Cutout,7,Width 2ft,37.7666036064,-122.415533646066
18523,Magnolia grandiflora :: Southern Magnolia,1751X Powell St,Sidewalk: Curb side : Cutout,18,4X4,37.8010503933376,-122.411038470249
221739,Pittosporum undulatum :: Victorian Box,960 Stanyan St,Sidewalk: Curb side : Cutout,18,Width 3ft,37.7655652095945,-122.452709425124
18055,Ulmus parvifolia :: Chinese Elm,2872 Pine St,Sidewalk: Curb side : Cutout,12,3X3,37.7868182138227,-122.443122531996
251482,Pinus radiata :: Monterey Pine,900 Bosworth St,Front Yard : Yard,,,37.7341348351459,-122.436706663072
131895,Olea europaea :: Olive Tree,3274 Sacramento St,Sidewalk: Curb side : Cutout,16,Width 4ft,37.7885096634197,-122.446591180632
3043,Platanus x hispanica :: Sycamore: London Plane,2669 California St,Sidewalk: Curb side : Cutout,14,3x3,37.7882662649831,-122.43821467397
6921,Olea europaea :: Olive Tree,425 Fell St,Sidewalk: Curb side : Cutout,3,3X3,37.7756164008395,-122.424857632506
